ip,fqdn
2.56.14.18,2.bg.pool.ntp.org
2.248.46.253,0.se.pool.ntp.org
3.7.223.15,1.in.pool.ntp.org
3.7.223.15,2.in.pool.ntp.org
3.39.176.65,1.kr.pool.ntp.org
3.39.176.65,2.kr.pool.ntp.org
3.39.176.65,3.kr.pool.ntp.org
3.39.176.65,kr.pool.ntp.org
3.77.190.163,3.de.pool.ntp.org
3.111.45.100,1.in.pool.ntp.org
3.121.254.221,0.de.pool.ntp.org
3.121.254.221,2.de.pool.ntp.org
3.121.254.221,de.pool.ntp.org
5.1.56.123,3.cz.pool.ntp.org
5.1.56.123,cz.pool.ntp.org
5.1.73.50,0.europe.pool.ntp.org
5.1.73.50,1.de.pool.ntp.org
5.1.73.50,3.europe.pool.ntp.org
5.1.73.50,de.pool.ntp.org
5.1.73.50,europe.pool.ntp.org
5.2.80.90,0.europe.pool.ntp.org
5.2.80.90,2.tr.pool.ntp.org
5.2.80.90,3.europe.pool.ntp.org
5.2.80.90,tr.pool.ntp.org
5.9.7.51,0.de.pool.ntp.org
5.9.7.51,3.de.pool.ntp.org
5.9.7.51,de.pool.ntp.org
5.9.59.78,1.europe.pool.ntp.org
5.9.193.27,0.europe.pool.ntp.org
5.9.193.27,2.de.pool.ntp.org
5.9.193.27,3.de.pool.ntp.org
5.9.193.27,de.pool.ntp.org
5.20.0.20,1.europe.pool.ntp.org
5.20.0.20,1.lt.pool.ntp.org
5.20.0.20,2.europe.pool.ntp.org
5.20.0.20,europe.pool.ntp.org
5.20.0.20,lt.pool.ntp.org
5.20.0.21,1.europe.pool.ntp.org
5.20.0.21,1.lt.pool.ntp.org
5.20.0.21,2.europe.pool.ntp.org
5.20.0.21,europe.pool.ntp.org
5.20.0.21,lt.pool.ntp.org
5.23.48.17,ru.pool.ntp.org
5.32.10.107,0.ae.pool.ntp.org
5.32.10.107,0.asia.pool.ntp.org
5.32.10.107,1.ae.pool.ntp.org
5.32.10.107,2.ae.pool.ntp.org
5.32.10.107,3.ae.pool.ntp.org
5.32.10.107,ae.pool.ntp.org
5.34.248.224,1.europe.pool.ntp.org
5.34.248.224,1.li.pool.ntp.org
5.34.248.224,3.li.pool.ntp.org
5.34.248.224,europe.pool.ntp.org
5.34.248.224,li.pool.ntp.org
5.34.248.225,0.li.pool.ntp.org
5.34.248.225,1.li.pool.ntp.org
5.34.248.225,li.pool.ntp.org
5.34.252.148,0.li.pool.ntp.org
5.34.252.148,1.li.pool.ntp.org
5.34.252.148,3.li.pool.ntp.org
5.35.36.209,2.nl.pool.ntp.org
5.35.36.209,3.nl.pool.ntp.org
5.35.36.209,europe.pool.ntp.org
5.39.78.25,1.fr.pool.ntp.org
5.39.80.51,1.europe.pool.ntp.org
5.39.80.51,1.fr.pool.ntp.org
5.39.80.51,2.fr.pool.ntp.org
5.39.80.51,3.europe.pool.ntp.org
5.39.80.51,fr.pool.ntp.org
5.39.184.12,1.nl.pool.ntp.org
5.39.184.12,3.europe.pool.ntp.org
5.39.184.12,3.nl.pool.ntp.org
5.39.184.12,europe.pool.ntp.org
5.39.184.12,nl.pool.ntp.org
5.45.83.132,3.ru.pool.ntp.org
5.45.97.204,0.cz.pool.ntp.org
5.45.97.204,2.europe.pool.ntp.org
5.45.97.204,3.cz.pool.ntp.org
5.45.97.204,cz.pool.ntp.org
5.45.97.204,europe.pool.ntp.org
5.75.147.220,3.de.pool.ntp.org
5.75.147.220,de.pool.ntp.org
5.75.147.220,europe.pool.ntp.org
5.75.152.43,de.pool.ntp.org
5.75.251.87,2.europe.pool.ntp.org
5.75.251.87,3.de.pool.ntp.org
5.75.251.87,de.pool.ntp.org
5.75.251.87,europe.pool.ntp.org
5.78.62.36,0.us.pool.ntp.org
5.78.62.36,2.north-america.pool.ntp.org
5.78.62.36,3.us.pool.ntp.org
5.78.62.36,us.pool.ntp.org
5.78.139.245,1.north-america.pool.ntp.org
5.78.139.245,1.us.pool.ntp.org
5.78.139.245,2.us.pool.ntp.org
5.78.139.245,3.north-america.pool.ntp.org
5.78.139.245,us.pool.ntp.org
5.79.108.34,1.nl.pool.ntp.org
5.79.108.34,2.cn.pool.ntp.org
5.79.108.34,cn.pool.ntp.org
5.79.108.34,nl.pool.ntp.org
5.133.102.37,0.asia.pool.ntp.org
5.133.102.37,0.europe.pool.ntp.org
5.133.102.37,0.tr.pool.ntp.org
5.133.102.37,1.asia.pool.ntp.org
5.133.102.37,1.tr.pool.ntp.org
5.133.102.37,2.europe.pool.ntp.org
5.133.102.37,europe.pool.ntp.org
5.133.102.37,tr.pool.ntp.org
5.135.153.35,2.fr.pool.ntp.org
5.135.158.34,2.fr.pool.ntp.org
5.148.175.134,1.ch.pool.ntp.org
5.148.175.134,2.ch.pool.ntp.org
5.148.175.134,3.ch.pool.ntp.org
5.148.175.134,3.europe.pool.ntp.org
5.148.175.134,ch.pool.ntp.org
5.148.175.134,europe.pool.ntp.org
5.148.185.36,3.ch.pool.ntp.org
5.161.18.115,0.us.pool.ntp.org
