ip,fqdn
45.170.100.4,2.cl.pool.ntp.org
45.170.100.4,3.cl.pool.ntp.org
64.176.3.116,2.cl.pool.ntp.org
64.176.3.116,cl.pool.ntp.org
64.176.4.213,0.cl.pool.ntp.org
64.176.4.213,3.cl.pool.ntp.org
64.176.13.132,0.cl.pool.ntp.org
64.176.13.132,1.cl.pool.ntp.org
162.159.200.1,0.cl.pool.ntp.org
162.159.200.1,3.cl.pool.ntp.org
162.159.200.1,cl.pool.ntp.org
162.159.200.123,1.cl.pool.ntp.org
162.159.200.123,2.cl.pool.ntp.org
162.159.200.123,cl.pool.ntp.org
194.0.5.123,0.cl.pool.ntp.org
194.0.5.123,3.cl.pool.ntp.org
200.1.19.16,1.cl.pool.ntp.org
200.89.75.197,1.cl.pool.ntp.org
200.89.75.197,2.cl.pool.ntp.org
200.89.75.197,cl.pool.ntp.org
200.89.75.198,3.cl.pool.ntp.org
200.89.75.198,cl.pool.ntp.org
